Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
51983,3.96089,0.11801,0.1604,12.85,-99.9999,1,153,Hilda
54630,3.96389,0.1509,0.15941,12.53,-99.9999,1,153,Hilda
54644,3.96176,0.12681,0.1336,12.76,-99.9999,1,153,Hilda
56982,3.96607,0.18965,0.15737,12.92,-99.9999,1,153,Hilda
56996,3.96551,0.17783,0.15047,12.66,-99.9999,1,153,Hilda
60232,3.96409,0.15403,0.14876,13.78,-99.9999,1,153,Hilda
61042,3.9667,0.20678,0.143,12.59,-99.9999,1,153,Hilda
62145,3.96372,0.14964,0.14976,12.76,-99.9999,1,153,Hilda
62408,3.96639,0.19856,0.15091,12.81,-99.9999,1,153,Hilda
63184,3.96104,0.11798,0.14419,12.49,-99.9999,1,153,Hilda
63249,3.9631,0.13691,0.15331,12.68,-99.9999,1,153,Hilda
65244,3.96657,0.2001,0.13844,12.92,-99.9999,1,153,Hilda
65374,3.96671,0.2079,0.15332,12.77,-99.9999,1,153,Hilda
66187,3.96661,0.19874,0.1563,11.98,-99.9999,1,153,Hilda
66227,3.96698,0.2158,0.14734,13.0,-99.9999,1,153,Hilda
67246,3.96491,0.1645,0.15838,12.63,-99.9999,1,153,Hilda
67340,3.96471,0.1639,0.15043,12.44,-99.9999,1,153,Hilda
67368,3.96672,0.20882,0.1435,12.3,-99.9999,1,153,Hilda
68374,3.96325,0.14047,0.16032,13.08,-99.9999,1,153,Hilda
68402,3.9622,0.12948,0.15758,13.09,-99.9999,1,153,Hilda
73436,3.96277,0.13624,0.1502,13.24,-99.9999,1,153,Hilda
73455,3.96526,0.17094,0.15569,13.59,-99.9999,1,153,Hilda
73457,3.96644,0.19764,0.15375,12.63,-99.9999,1,153,Hilda
73458,3.96224,0.1311,0.15228,12.95,-99.9999,1,153,Hilda
76810,3.96221,0.13091,0.15692,12.67,-99.9999,1,153,Hilda
76831,3.96776,0.23837,0.12811,12.54,-99.9999,1,153,Hilda
77884,3.96412,0.15474,0.1524,12.55,-99.9999,1,153,Hilda
77895,3.96657,0.19652,0.15468,12.46,-99.9999,1,153,Hilda
77910,3.9665,0.19859,0.15538,12.87,-99.9999,1,153,Hilda
78159,3.96018,0.11226,0.14782,12.79,-99.9999,1,153,Hilda
78477,3.96021,0.11258,0.14029,13.44,-99.9999,1,153,Hilda
78815,3.96186,0.12697,0.14758,12.68,-99.9999,1,153,Hilda
79096,3.96623,0.19452,0.15329,14.21,-99.9999,1,153,Hilda
82041,3.96699,0.21549,0.16189,13.05,-99.9999,1,153,Hilda
83801,3.9671,0.21369,0.14999,13.54,-99.9999,1,153,Hilda
83804,3.96617,0.19238,0.15469,13.04,-99.9999,1,153,Hilda
83867,3.96646,0.2012,0.14945,13.37,-99.9999,1,153,Hilda
83916,3.96627,0.19481,0.15703,13.47,-99.9999,1,153,Hilda
85163,3.96414,0.1525,0.13794,13.12,-99.9999,1,153,Hilda
86435,3.96317,0.14108,0.14597,12.75,-99.9999,1,153,Hilda
88230,3.96594,0.188,0.15204,12.25,-99.9999,1,153,Hilda
88253,3.96609,0.19171,0.1521,12.75,-99.9999,1,153,Hilda
90502,3.96764,0.2363,0.15632,13.75,-99.9999,1,153,Hilda
90737,3.96266,0.13547,0.15308,13.41,-99.9999,1,153,Hilda
91273,3.9638,0.14787,0.15454,13.15,-99.9999,1,153,Hilda
91304,3.96606,0.19004,0.1523,12.54,-99.9999,1,153,Hilda
92272,3.96429,0.15786,0.14681,12.88,-99.9999,1,153,Hilda
92287,3.96217,0.12964,0.15215,13.18,-99.9999,1,153,Hilda
94266,3.95847,0.09972,0.1519,13.29,-99.9999,1,153,Hilda
94275,3.96639,0.19905,0.14793,13.15,-99.9999,1,153,Hilda
96609,3.9639,0.15207,0.14713,13.6,-99.9999,1,153,Hilda
99251,3.96443,0.16001,0.15318,13.57,-99.9999,1,153,Hilda
99862,3.96612,0.1906,0.15343,14.34,-99.9999,1,153,Hilda
99982,3.96754,0.23389,0.16748,13.89,-99.9999,1,153,Hilda
101153,3.96189,0.12792,0.15377,13.71,-99.9999,1,153,Hilda
104943,3.96606,0.19086,0.14921,12.99,-99.9999,1,153,Hilda
109184,3.96537,0.17357,0.15186,13.15,-99.9999,1,153,Hilda
109612,3.96426,0.15702,0.15262,14.17,-99.9999,1,153,Hilda
110659,3.96135,0.11952,0.15809,13.62,-99.9999,1,153,Hilda
110921,3.96177,0.12685,0.15221,13.54,-99.9999,1,153,Hilda
111743,3.96661,0.20436,0.14307,12.79,-99.9999,1,153,Hilda
111885,3.96229,0.13213,0.13523,13.25,-99.9999,1,153,Hilda
112442,3.96628,0.1918,0.15799,13.07,-99.9999,1,153,Hilda
113224,3.96142,0.12351,0.14863,12.9,-99.9999,1,153,Hilda
114513,3.96259,0.13474,0.15333,13.89,-99.9999,1,153,Hilda
114749,3.96724,0.22432,0.1494,13.74,-99.9999,1,153,Hilda
115097,3.96655,0.20301,0.15011,13.11,-99.9999,1,153,Hilda
